id,año,cargo,nombre,partido,estado
1,1991,Min. de Transportes,Germán Correa,PS,Rechazada
2,1992,Auditor General del Ejército,Fernando Torres,,Rechazada
3,1992,Min. de la Corte Suprema,Germán Valenzuela,,Rechazada
4,1992,Min. de la Corte Suprema,Hernán Cereceda,,Destituido
5,1992,Min. de la Corte Suprema,Lionel Beraud,,Rechazada
6,1994,Min. de Hacienda,Alejandro Foxley,DC,No presentada
7,1994,Min. de Minería,Alejandro Hales,DC,No presentada
8,1996,Min. de la Corte Suprema,Eleodoro Ortiz,,Rechazada
9,1996,Min. de la Corte Suprema,Enrique Zurita,,Rechazada
10,1996,Min. de la Corte Suprema,Guillermo Navas,,Rechazada
11,1996,Min. de la Corte Suprema,Hernán Álvarez,,Rechazada
12,1997,Min. de la Corte Suprema,Marcos Aburto,,Rechazada
13,1997,Min. de la Corte Suprema,Osvaldo Faúndez,,Rechazada
14,1997,Min. de Educación,José Pablo Arellano,DC,Rechazada
15,1997,Presidente de la Corte Suprema,Servando Jordán,,Rechazada
16,1997,Min. de la Corte Suprema,Servando Jordán,,Rechazada
17,1997,Min. de la Corte Suprema,Enrique Zurita,,Rechazada
18,1998,Min. de Obras Públicas,Ricardo Lagos,PPD,Rechazada
19,1998,General de Ejército,Augusto Pinochet,,Rechazada
20,2000,Min. de la Corte Suprema,Luis Correa Bulo,,Rechazada
21,2002,Intendente RM,Marcelo Trivelli,PRO,Rechazada
22,2003,Intendente y Gob. Valparaíso,Iván de la Maza,DC,Rechazada
23,2003,Min. de Economía,Jorge Rodríguez,DC,Rechazada
24,2004,Min. de Justicia,Luis Bates,IND,No presentada
25,2005,Min. de la Corte Suprema,Domingo Kokisch,,No presentada
26,2005,Min. de la Corte Suprema,Eleodoro Ortiz,,No presentada
27,2005,Min. de la Corte Suprema,Jorge Rodríguez A.,,No presentada
28,2008,Min. de Educación,Yasna Provoste,DC,Destituida
29,2010,Intendenta Atacama,Ximena Matas,IND,No presentada
30,2010,Gobernador Copiapó,Nicolás Noman,UDI,No presentada
31,2011,Min. del Interior,Rodrigo Hinzpeter,RN,No presentada
32,2012,Min. del Interior,Rodrigo Hinzpeter,RN,No presentada
33,2013,Min. de Educación,Harald Beyer,IND,Destituido
34,2014,Min. de la Corte Suprema,Héctor Carreño,,Rechazada
35,2015,Min. de Salud,Carmen Castillo,IND,No presentada
36,2016,Min. de Justicia,Javiera Blanco,IND,No presentada
37,2016,Min. de Justicia,Javiera Blanco,IND,No presentada
38,2018,Min. de la Corte Suprema,Hugo Dolmestch,,Rechazada
39,2018,Min. de la Corte Suprema,Carlos Künsemüller,,Rechazada
40,2018,Min. de la Corte Suprema,Manuel Valderrama,,Rechazada
41,2018,Min. de Salud,Emilio Santelices,IND,No presentada
42,2019,Min. de Educación,Marcela Cubillos,IND,Rechazada
43,2019,Presidente de la República,Sebastián Piñera,RN,No presentada
44,2019,Min. del Interior,Andrés Chadwick,UDI,Prohibición de desempeñar cargos públicos x 5 años
45,2020,Intendente RM,Felipe Guevara,RN,Rechazada
46,2020,Min. Corte de Apelaciones Valparaíso,Silvana Donoso,,Rechazada
47,2020,Min. de Salud,Jaime Mañalich,IND,Rechazada
48,2020,Min. del Interior,Víctor Pérez,UDI,Rechazada
