id,distrito,nombre,lista,partido,n_votos,p_votos
1,1,Jorge Abarca,Lista del Apruebo,PL-IND,3251,5.68
2,1,Pollyana Rivera,Vamos por Chile,UDI-IND,3469,6.06
3,1,Carolina Videla,Apruebo Dignidad,PC,3629,6.34
4,2,Alejandra Flores,Ind. de Tarapacá,IND,3758,4.78
5,2,Alvaro Jofre,Vamos por Chile,RN,6131,7.79
6,2,Hugo Gutierrez,Apruebo Dignidad,PC,6773,8.61
7,3,Hernan Velasquez,Apruebo Dignidad,FRVS,3946,2.54
8,3,Pablo Toloza,Vamos por Chile,UDI,5443,3.50
9,3,Dayyana Gonzalez,Lista del Pueblo,IND,10245,6.59
10,3,Cristina Dorador,Movimientos Sociales,IND,19751,12.71
11,4,Maximiliano Hurtado,Lista del Apruebo,PS ,3084,3.75
12,4,Guillermo Namor,No Neutrales,IND,4047,4.92
13,4,Constanza Juan,Lista del Pueblo,IND,7913,9.61
14,4,Ericka Portilla,Apruebo Dignidad,PC,10141,12.32
15,5,Maria Castillo,Ind. por la Región de Coq.,IND,6080,2.70
16,5,Roberto Vega,Vamos por Chile,RN,7990,3.55
17,5,Daniel Bravo,Lista del Pueblo,IND,11061,4.91
18,5,Carlos Calvo,Lista del Apruebo,PS-IND,12514,5.55
19,5,Jeniffer Mella,Apruebo Dignidad,CS-IND,13368,5.93
20,5,Ivanna Olivares,Lista del Pueblo,IND,22480,9.98
21,6,Miguel Botto,No Neutrales,IND,3779,1.15
22,6,Cristobal Andrade,Lista del Pueblo,IND,6767,2.06
23,6,Claudio Gomez,Lista del Apruebo,PS-IND,8209,2.50
24,6,Janis Meneses,Movimientos Sociales,IND,8689,2.65
25,6,Ruggero Cozzi,Vamos por Chile,RN-IND,10814,3.29
26,6,Lisette Vergara,Lista del Pueblo,IND,11354,3.46
27,6,Mariela Serey,Apruebo Dignidad,CS-IND,11842,3.61
28,6,Carolina Vilches,Apruebo Dignidad,COM-IND,19116,5.82
29,7,Maria Oyarzun,Apruebo Dignidad,RD,2613,0.79
30,7,Raul Celis,Vamos por Chile,RN,13779,4.16
31,7,Tania Madriaga,Lista del Pueblo,IND,15020,4.53
32,7,Agustin Squella,Lista del Apruebo,PL-IND,17737,5.35
33,7,Camila Zarate,Lista del Pueblo,IND,18935,5.72
34,7,Jorge Arancibia,Vamos por Chile,UDI-IND,21497,6.49
35,7,Jaime Bassa,Apruebo Dignidad,CS-IND,43450,13.12
36,8,Tatiana Urrutia,Apruebo Dignidad,RD,4435,0.98
37,8,Bessy Gallardo,Lista del Apruebo,PRO-IND,9601,2.12
38,8,Valentina Miranda,Apruebo Dignidad,PC,10931,2.42
39,8,Maria Rivera,Lista del Pueblo,IND,18691,4.13
40,8,Marco Arellano,Lista del Pueblo,IND,20367,4.50
41,8,Bernardo Maza,Vamos por Chile,EVO-IND,28327,6.29
42,8,Daniel Stingo,Apruebo Dignidad,RD-IND,111578,24.65
43,9,Cesar Valenzuela,Lista del Apruebo,PS ,9592,3.03
44,9,Arturo Zuñiga,Vamos por Chile,UDI,11571,3.65
45,9,Natalia Henriquez,Lista del Pueblo,IND,17903,5.65
46,9,Alejandra Perez,Lista del Pueblo,IND,18002,5.68
47,9,Barbara Sepulveda,Apruebo Dignidad,PC,24900,7.85
48,9,Rodrigo Logan,Independiente,IFP,34781,10.97
49,10,Giovanna Roa,Apruebo Dignidad,RD,3875,0.91
50,10,Manuel Woldarsky,Lista del Pueblo,IND,10533,2.48
51,10,Cristian Monckeberg,Vamos por Chile,RN,18553,4.36
52,10,Jorge Baradit,Lista del Apruebo,PS-IND,21881,5.15
53,10,Patricia Politzer,No Neutrales,IND,31739,7.47
54,10,Teresa Marinovic,Vamos por Chile,RN-IND,39753,9.53
55,10,Fernando Atria,Apruebo Dignidad,RD-IND,52556,12.36
56,11,Patricio Fernandez,Lista del Apruebo,PL-IND,11882,3.09
57,11,Bernardo Fontaine,Vamos por Chile,RN-IND,16728,4.35
58,11,Constanza Hube,Vamos por Chile,UDI,18806,4.89
59,11,Constanza Schonhaut,Apruebo Dignidad,CS,21536,5.60
60,11,Hernan Larrain,Vamos por Chile,EVO,29373,7.64
61,11,Marcela Cubillos,Vamos por Chile,UDI-IND,84040,21.85
62,12,Juan Martin,No Neutrales,IND,2702,0.73
63,12,Manuel Ossandon,Vamos por Chile,RN-IND,13831,3.72
64,12,Giovanna Grandon,Lista del Pueblo,IND,20990,5.64
65,12,Alondra Carrillo,Voces Constituyentes,IND,22986,6.18
66,12,Beatriz Sanchez,Apruebo Dignidad,RD-IND,28254,7.59
67,12,Benito Baranda,No Neutrales,IND,47081,12.65
68,13,Marcos Barraza,Apruebo Dignidad,PC,11217,4.87
69,13,Rodrigo Rojas,Lista del Pueblo,IND,19379,8.41
70,13,Ingrid Villena,Lista del Pueblo,IND,19847,8.61
71,13,Malucha Pinto,Lista del Apruebo,PS ,29160,12.65
72,14,Claudia Castro,Vamos por Chile,UDI-IND,3758,1.24
73,14,Paulina Valenzuela,No Neutrales,IND,15734,5.19
74,14,Renato Garin,Lista del Apruebo,PR-IND,22060,7.28
75,14,Francisco Caamaño,Lista del Pueblo,IND,26825,8.85
76,14,Ignacio Achurra,Apruebo Dignidad,CS,29524,9.75
77,15,Damaris Abarca,Apruebo Dignidad,CS-IND,6011,3.32
78,15,Matias Orellana,Lista del Apruebo,PS ,7229,3.99
79,15,Carol Bown,Vamos por Chile,UDI,7402,4.09
80,15,Alvin Saldaña,Movimientos Sociales,IND,8870,4.90
81,15,Loreto Vallejos,Lista del Pueblo,IND,17061,9.42
82,16,Adriana Cancino,Lista del Apruebo,PS-IND,3731,2.63
83,16,Gloria Alvarado,Corrientes Ind.,IND,6352,4.48
84,16,Nicolas Nuñez,Apruebo Dignidad,FRVS,10771,7.59
85,16,Ricardo Neumann,Vamos por Chile,UDI-IND,11772,8.29
86,17,Paola Grandon,Apruebo Dignidad,FRVS,1188,0.52
87,17,Elsa Labraña,Lista del Pueblo,IND,7366,3.23
88,17,Christian Viera,Lista del Apruebo,DC-IND,9164,4.02
89,17,Alfredo Moreno,Vamos por Chile,UDI-IND,11343,4.98
90,17,Maria Quinteros,A. Popular por la Dig.,IND,12507,5.49
91,17,Barbara Rebolledo,Vamos por Chile,EVO-IND,18096,7.94
92,17,Roberto Celedon,Apruebo Dignidad,FRVS-IND,23468,10.30
93,18,Ricardo Montero,Lista del Apruebo,PS ,6113,5.49
94,18,Fernando Salinas,Lista del Pueblo,IND,7416,6.66
95,18,Francisca Arauna,Lista del Pueblo,IND,11776,10.57
96,18,Patricia Labra,Vamos por Chile,RN,11888,10.67
97,19,Margarita Letelier,Vamos por Chile,UDI,6109,3.90
98,19,Carolina Sepulveda,No Neutrales,IND,6986,4.46
99,19,Felipe Harboe,Lista del Apruebo,PPD ,11046,7.05
100,19,Cesar Uribe,Lista del Pueblo,IND,16105,10.28
101,19,Martin Garcia,Vamos por Chile,UDI,22137,14.12
102,20,Luciano Silva,Vamos por Chile,RN,9281,3.04
103,20,Bastian Labbe,A. Popular Const.,IND,9597,3.14
104,20,Tammy Pustilnick,No Neutrales,IND,10350,3.39
105,20,Andres Cruz,Lista del Apruebo,PS-IND,10937,3.58
106,20,Rossana Vidal,Lista del Pueblo,IND,11496,3.77
107,20,Rocio Cantuarias,Vamos por Chile,EVO-IND,16957,5.56
108,20,Amaya Alvez,Apruebo Dignidad,RD,18459,6.05
109,21,Javier Fuchslocher,No Neutrales,IND,5946,3.53
110,21,Luis Barcelo,Lista del Apruebo,PPD-IND,7581,4.50
111,21,Paulina Veloso,Vamos por Chile,RN,8547,5.07
112,21,Vanessa Hoppe,Apruebo Dignidad,PC-IND,11131,6.60
113,22,Ruth Hurtado,Vamos por Chile,RN-IND,2013,2.53
114,22,Eduardo Cretton,Vamos por Chile,UDI,7925,9.96
115,22,Fuad Chahin,Lista del Apruebo,DC ,11413,14.34
116,23,Angelica Tepper,Vamos por Chile,RN-IND,4899,3.02
117,23,Lorena Cespedes,No Neutrales,IND,5548,3.42
118,23,Eduardo Castillo,Lista del Apruebo,PPD ,5714,3.52
119,23,Helmuth Martinez,Lista del Pueblo,IND,7229,4.46
120,23,Manuela Royo,Apruebo Dignidad,PI-IND,8613,5.31
121,23,Luis Mayol,Vamos por Chile,RN,15442,9.52
122,24,Aurora Delgado,Apruebo Dignidad,RD-IND,4837,4.24
123,24,Felipe Mena,Vamos por Chile,UDI,6209,5.44
124,24,Pedro Muñoz,Lista del Apruebo,PS ,11204,9.81
125,24,Ramona Reyes,Lista del Apruebo,PS ,12087,10.58
126,25,Maria Ubilla,Vamos por Chile,UDI-IND,4264,4.24
127,25,Mario Vargas,Lista del Apruebo,PS ,5828,5.80
128,25,Harry Jurgensen,Vamos por Chile,RN,19464,19.35
129,26,Katerine Montealegre,Vamos por Chile,UDI,5045,3.84
130,26,Gaspar Dominguez,No Neutrales,IND,6398,4.87
131,26,Adriana Ampuero,Insulares e Ind.,IND,10734,8.17
132,26,Julio Alvarez,Lista del Apruebo,PS ,13822,10.53
133,27,Yarela Gomez,Apruebo Dignidad,RD-IND,2255,6.89
134,27,Geoconda Navarrete,Vamos por Chile,EVO,3404,10.41
135,27,Tomas Laibe,Lista del Apruebo,PS ,4291,13.12
136,28,Rodrigo Alvarez,Vamos por Chile,UDI,4197,7.71
137,28,Elisa Giustinianovich,Coord. Social de Mag.,IND,4256,7.82
138,28,Mauricio Daza,Regionalismo Ciud. Ind.,IND,6194,11.38
139,,Luis Jimenez,Aimara,,2318,12.05
140,,Isabella Mamani,Aimara,,2414,15.55
141,,Felix Galleguillos,Atacameño,,1402,20.70
142,,Fernando Tirado,Chango,,395,43.41
143,,Isabel Godoy,Colla,,631,29.51
144,,Eric Chinga,Diaguita,,3663,32.59
145,,Margarita Vargas,Kawesqar,,95,38.15
146,,Alexis Caiguan,Mapuche,,6294,2.89
147,,Victorino Antilef,Mapuche,,7494,3.44
