id,región,distrito,nombre,lista,partido,n_votos,p_votos,,,
1,Arica,1,Vlado Mirosevic,Unidad Constituyente,PL,24273,34.10,,,
2,Arica,1,Nino Baltolú,Chile Vamos,UDI,9272,13.03,,,
3,Arica,1,Luis Rocafull,Unidad Constituyente,PS,6427,9.03,,,
4,Tarapacá,2,Renzo Trisotti,Chile Vamos,UDI,20039,22.21,,,
5,Tarapacá,2,Ramón Galleguillos,Chile Vamos,RN,17159,19.02,,,
6,Tarapacá,2,Rubén Moraga*,Apruebo Dignidad,PC,14318,15.87,,,
7,Antofagasta,3,Paulina Núñez,Chile Vamos,RN,37764,23.27,,,
8,Antofagasta,3,Marcela Hernando,Unidad Constituyente,PR,14823,9.13,,,
9,Antofagasta,3,Esteban Velásquez,Apruebo Dignidad,FRVS,10063,6.20,,,
10,Antofagasta,3,Catalina Pérez,Apruebo Dignidad,RD,6098,3.76,,,
11,Antofagasta,3,José M. Castro,Chile Vamos,RN,5181,3.19,,,
12,Atacama,4,Daniella Cicardini,Unidad Constituyente,PS,16457,17.55,,,
13,Atacama,4,Sofía Cid,Chile Vamos,RN,13318,14.20,,,
14,Atacama,4,Jaime Mulet,Apruebo Dignidad,FRVS,9437,10.06,,,
15,Atacama,4,Juan Santana,Unidad Constituyente,PS,6247,6.66,,,
16,Atacama,4,Nicolás Noman,Chile Vamos,UDI,5979,6.37,,,
17,Coquimbo,5,Sergio Gahona,Chile Vamos,UDI,27327,11.77,,,
18,Coquimbo,5,Pedro Velasquez,Apruebo Dignidad,FRVS,22485,9.68,,,
19,Coquimbo,5,Matias Walker,Unidad Constituyente,DC,15473,6.66,,,
20,Coquimbo,5,Daniel Núñez,Apruebo Dignidad,PC,15349,6.61,,,
21,Coquimbo,5,Francisco Eguiguren,Chile Vamos,RN,11144,4.80,,,
22,Coquimbo,5,Raúl Saldívar,Unidad Constituyente,PS,11099,4.78,,,
23,Coquimbo,5,Juan M. Fuenzalida,Chile Vamos,UDI,4342,1.87,,,
