id,región,distrito,nombre,lista,partido,fuente,fecha,estado,link,link2
1,Tarapacá,2,Gonzalo Prieto,Unidad Constituyente,PPD,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
2,Coquimbo,5,Gladys Barraza,Unidad Constituyente,DC,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
3,Coquimbo,5,Marco Sulantay,Chile Vamos,UDI,Diario El Día,14-06-2021,1,http://www.diarioeldia.cl/region/politica/sulantay-analiza-su-futuro-mientras-clase-politica-hace-severa-autocritica,
4,Valparaíso,6,Chiara Barchiesi,Republicanos,REP,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
5,Valparaíso,6,Ángeles López,Republicanos,REP,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
6,Valparaíso,7,Paz Anastasiadis,Unidad Constituyente,DC,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
7,Metropolitana,8,Mario Aguilar,Independientes,IND,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
8,Metropolitana,8,Carolina Garrido,Unidad Constituyente,PS,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
9,Metropolitana,8,Andrea Ojeda,Chile Vamos,RN,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
10,Metropolitana,8,Camilo Morán,Chile Vamos,RN,La Tercera,25-06-2021,1,https://www.latercera.com/la-tercera-pm/noticia/desde-el-reemplazo-de-jackson-al-zigzagueo-de-jvr-en-nuble-13-conflictos-de-cara-a-la-parlamentaria/S66HVTUVBJFNXGXDCQY7WZ2PUE/,
11,Metropolitana,8,Karen Orellana,Lista del Pueblo,IND,El Mercurio,09-07-2021,1,https://digital.elmercurio.com/2021/07/09/C/K5402068#zoom=page-width,
12,Metropolitana,9,Rodrigo Mallea,Apruebo Dignidad,CS,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
13,Metropolitana,9,Gloria Pinto,Lista del Pueblo,IND,El Mercurio,09-07-2021,1,https://digital.elmercurio.com/2021/07/09/C/K5402068#zoom=page-width,
14,Metropolitana,10,Emilia Schneider,Apruebo Dignidad,COM,La Tercera,25-06-2021,1,https://www.latercera.com/la-tercera-pm/noticia/desde-el-reemplazo-de-jackson-al-zigzagueo-de-jvr-en-nuble-13-conflictos-de-cara-a-la-parlamentaria/S66HVTUVBJFNXGXDCQY7WZ2PUE/,
15,Metropolitana,10,Antonia Orellana,Apruebo Dignidad,CS,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
16,Metropolitana,10,Laura Albornoz,Unidad Constituyente,DC,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
17,Metropolitana,10,Jaime Parada,Unidad Constituyente,PPD-IND,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
18,Metropolitana,10,Diego Riveaux,Chile Vamos,UDI,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
19,Metropolitana,11,Juan Enrique Pi,Unidad Constituyente,DC-IND,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
20,Metropolitana,11,Pauline Kantor,Chile Vamos,EVO,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
21,Metropolitana,11,Gonzalo de la Carrera,Republicanos,REP,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
22,Metropolitana,11,Cristián Araya,Republicanos,REP,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
23,Metropolitana,11,Isabel Pla,Chile Vamos,UDI,La Tercera,25-06-2021,1,https://www.latercera.com/la-tercera-pm/noticia/desde-el-reemplazo-de-jackson-al-zigzagueo-de-jvr-en-nuble-13-conflictos-de-cara-a-la-parlamentaria/S66HVTUVBJFNXGXDCQY7WZ2PUE/,
24,Metropolitana,11,Tomás Hirsch,Acción Humanista,IND,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
25,Metropolitana,11,Marcela Cubillos,Acción Humanista,IND,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
26,Metropolitana,11,Soledad Mella,Lista del Pueblo,IND,El Mercurio,09-07-2021,1,https://digital.elmercurio.com/2021/07/09/C/K5402068#zoom=page-width,
27,Metropolitana,12,Pablo Maltés,Humanistas,PH,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
28,Metropolitana,12,Luis Catalán,Lista del Pueblo,IND,El Mercurio,09-07-2021,1,https://digital.elmercurio.com/2021/07/09/C/K5402068#zoom=page-width,
29,Metropolitana,14,Diego Calderon,Unidad Constituyente,DC,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
30,Metropolitana,14,Camila Briceño,Unidad Constituyente,DC,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
31,Metropolitana,14,Jaime Coloma,Chile Vamos,UDI,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
32,Metropolitana,14,Camila Musante,Apruebo Dignidad,COM-IND,Interno,06-07-2021,1,vía mail,
33,Maule,18,Guillermo Ceroni,Unidad Constituyente,PPD,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
34,Biobío,20,María A. Fuentes,Unidad Constituyente,PPD,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
35,Araucanía,23,Johannes Kaiser,Republicanos,REP,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
36,Araucanía,23,Gloria Neveillán,Republicanos,REP,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
37,Araucanía,23,Mauricio Estay,Republicanos,REP,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
38,Araucanía,23,Alejandro Martini,Republicanos,REP,El Mercurio,03-07-2021,1,https://digital.elmercurio.com/2021/07/03/C/0E3VUT6L#zoom=page-width,
39,Araucanía,23,Luz Alca Turra,Lista del Pueblo,IND,El Mercurio,09-07-2021,1,https://digital.elmercurio.com/2021/07/09/C/K5402068#zoom=page-width,
40,Los Lagos,26,Carmen G. Muñoz,Unidad Constituyente,DC,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
41,Los Lagos,26,Rodrigo Wainraight,Chile Vamos,RN,La Segunda,27-05-2021,1,https://www.litoralpress.cl/paginaconsultas/Servicios_NClip/Get_Imagen_Pagina.aspx?LPKey=J2Y4MCL6PYE5HCH6C3TKCZWONXSGXTITP7MCRAQL7332XCM6F2PA,
