fecha,encuestadora,n,prob,jadue,boric,total,nsnr,total2
29-06-2021,Criteria Research,932,0,33.00,26.00,59.00,15.00,74.00
29-06-2021,Criteria Research,429,1,56.00,22.00,78.00,10.00,88.00
28-06-2021,Data Influye,1208,0,32.00,27.00,59.00,,59.00
28-06-2021,Data Influye,543,1,54.00,46.00,100.00,,100.00
17-06-2021,Cadem,703,0,27.00,25.00,52.00,14.00,66.00
17-06-2021,Cadem,182,1,54.00,40.00,94.00,2.00,96.00
11-06-2021,Activa Research,1226,0,50.80,9.30,60.10,20.60,80.70
11-06-2021,Activa Research,263,1,41.90,18.10,60.00,34.80,94.80
29-05-2021,Black and White,30000,0,58.00,28.00,86.00,14.00,100.00
28-05-2021,Activa Research,1522,0,48.60,12.30,60.90,18.10,79.00
28-05-2021,Activa Research,389,1,38.10,16.10,54.20,37.60,91.80
20-05-2021,Cadem,705,0,71.00,21.00,92.00,,92.00
