ministerio,nombre,partido,fecha inicio
Interior,Rodrigo Delgado,UDI,04-11-2020
Relaciones Exteriores,Andrés Allamand,RN,28-07-2020
Defensa,Baldo Prokurica,RN,17-12-2020
Hacienda,Rodrigo Cerda,IND,26-01-2021
SEGPRES,Juan José Ossa,RN,06-01-2021
SEGEGOB,Jaime Bellolio,UDI,28-07-2020
Economía,Lucas Palacios,UDI,28-10-2019
Desarrollo Social,Karla Rubilar,IND,28-07-2020
Educación,Raúl Figueroa,IND,28-02-2020
Justicia,Hernán Larraín,UDI,11-03-2018
Trabajo,Patricio Melero,UDI,07-04-2021
Obras Públicas,Alfredo Moreno,IND,13-06-2019
Salud,Enrique Paris,IND,13-06-2020
Vivienda,Felipe Ward,UDI,04-06-2020
Agricultura,María Emilia Undurraga,EVOP,06-01-2021
Minería,Juan Carlos Jobet,IND,17-12-2020
Transporte,Gloria Hutt,EVOP,11-03-2018
Bienes Nacionales,Julio Isamit,UDI,28-10-2019
Energía,Juan Carlos Jobet,IND,13-06-2019
Medioambiente,Carolina Schmidt,IND,09-08-2018
Deporte,Cecilia Pérez,RN,28-10-2019
Mujer,Mónica Zalaquett,UDI,09-06-2020
Cultura,Consuelo Valdés,IND,13-08-2018
Ciencia,Andrés Couve,IND,17-12-2018
