id,región,región1,comuna,nombre,sexo,pacto,partido
1,Arica,0.5,Arica,Luis Paredes Fierro,0,Chile Digno,IND
2,Arica,0.5,Arica,Giancarlo Baltolu Quintano,0,Chile Vamos,EVO
3,Arica,0.5,Arica,Paul Carvajal Quiroz,0,Dignidad Ahora,PH
4,Arica,0.5,Arica,Gerardo Espindola Rojas,0,Frente Amplio,PL
5,Arica,0.5,Arica,Leonardo Borquez Castillo,0,Independientes,IFP
6,Arica,0.5,Arica,Ricardo Sanzana Oteiza,0,Independientes,IFP
7,Arica,0.5,Arica,Carlos Valcarce Medina,0,Independientes,IFP
8,Arica,0.5,Arica,Rafael Ortega Aliaga,0,Independientes,IFP
9,Arica,0.5,Arica,Rayko Karmelic Pavlov,0,Independientes,IFP
10,Arica,0.5,Camarones,Ricardo Cepeda Soto,0,Chile Vamos,UDI
11,Arica,0.5,Camarones,Vladimir Caceres Salinas,0,Independientes,IFP
12,Arica,0.5,Camarones,Martin Montecinos Romero,0,Independientes,IFP
13,Arica,0.5,Camarones,Javier Diaz Calderon,0,Independientes,IFP
14,Arica,0.5,Camarones,Cristian Zavala Soto,0,Unidos Por La Dignidad,DC
15,Arica,0.5,General Lagos,Alex Castillo Blas,0,Chile Vamos,RN
16,Arica,0.5,General Lagos,Florencio Villanueva Sarco,0,Independientes,IFP
17,Arica,0.5,General Lagos,Rosa Maita Querquezana,1,Unidad Por El Apruebo,IND
18,Arica,0.5,Putre,Sergio Gamboa Morales,0,Chile Digno,IND
19,Arica,0.5,Putre,Maricel Gutierrez Castro,1,Independientes,IFP
20,Arica,0.5,Putre,Cristian Bilbao Apata,0,Independientes,IFP
21,Arica,0.5,Putre,Lino Mamani Vicente,0,Unidad Por El Apruebo,PPD
22,Tarapacá,1,Alto Hospicio,Camila Arce Fajardo,1,Chile Vamos,IND
23,Tarapacá,1,Alto Hospicio,Rene Caceres Araya,0,Independientes,IFP
24,Tarapacá,1,Alto Hospicio,Jorge Zavala Valenzuela,0,Independientes,IFP
25,Tarapacá,1,Alto Hospicio,German Quiroz Cancino,0,Independientes,IFP
26,Tarapacá,1,Alto Hospicio,Paula Astudillo Diaz,1,Independientes,IFP
27,Tarapacá,1,Alto Hospicio,Patricio Ferreira Rivera,0,Unidos Por La Dignidad,DC
28,Tarapacá,1,Camiña,Alex Carlos Sanchez,0,Chile Digno,IND
29,Tarapacá,1,Camiña,Marina Luna Platero,1,Chile Vamos,RN
30,Tarapacá,1,Camiña,Evelyn Mamani Viza,1,Independientes,IFP
31,Tarapacá,1,Colchane,Andres Garcia Flores,0,Chile Vamos,UDI
32,Tarapacá,1,Colchane,Javier Garcia Choque,0,Unidos Por La Dignidad,IND
33,Tarapacá,1,Huara,Jose Bartolo Vinaya,0,Chile Vamos,UDI
34,Tarapacá,1,Huara,Pamela Carvajal Carlos,1,Independientes,IFP
35,Tarapacá,1,Huara,Carlos Silva Riquelme,0,Independientes,IFP
