id,región,region2,comuna,nombre,lista,partido,tipo,sexo
72,Tarapacá,1,Pica,,Unidad Constituyente,PR,no legales,
74,Antofagasta,2,Antofagasta,ROBERTO CARLOS SOTO ALBALLAY,Chile Vamos,UDI,legales,0
75,Atacama,3,Vallenar,PEDRO PABLO OGALDE MENESES,Chile Vamos,IND,legales,0
76,Atacama,3,Copiapo,MAXIMILIANO ALBERTO BARRIONUEVO GARCIA,Chile Vamos,IND,legales,0
77,Atacama,3,Iquique,DANIELA CECILIA SOLARI VEGA,Chile Vamos,IND,legales,1
52,Atacama,3,Vallenar,Karina Zárate,Independiente,IND,no legales,1
4,Atacama,3,Chañaral,Margarita Flores,Unidad Constituyente,PR,no legales,1
71,Atacama,3,Alto del Carmen,,Unidad Constituyente,PR,no legales,
78,Coquimbo,4,Coquimbo,PEDRO ANTONIO CASTILLO CASTILLO,Chile Vamos,UDI,legales,0
27,Coquimbo,4,Ovalle,Wladimir Pleticosic,Unidad Constituyente,DC,no legales,0
79,Valparaíso,5,Con Con,JORGE ANTONIO VALDOVINOS GOMEZ,Chile Vamos,IND,legales,0
81,Valparaíso,5,Santo Domingo,DINO PAOLO LOTITO FLORES,Chile Vamos,RN,legales,0
82,Valparaíso,5,Valparaíso,CARLOS EDUARDO BANNEN GONZALEZ,Chile Vamos,UDI,legales,0
85,Valparaíso,5,Panquehue,MARGARITA ANDREA VELEZ MALGUE,Chile Vamos,UDI,legales,1
80,Valparaíso,5,Quilpué,VALERIA ANDREA MELIPILLAN FIGUEROA,Frente Amplio,CS,legales,1
86,Valparaíso,5,Putaendo,VERONICA ALEJANDRA BARRERA ALFARO,Frente Amplio,CS,legales,1
83,Valparaíso,5,Villa Alemana,CRISTIAN ALEJANDRO LUNA SALINAS,Frente Amplio,IND,legales,0
84,Valparaíso,5,Viña del Mar,MACARENA CAROLINA RIPAMONTI SERRANO,Frente Amplio,RD,legales,1
3,Valparaíso,5,Catemu,Felipe González,Unidad Constituyente,DC,no legales,0
12,Valparaíso,5,La Calera,Eduardo Martínez,Unidad Constituyente,DC,no legales,0
24,Valparaíso,5,Nogales,Ricardo Aliaga,Unidad Constituyente,DC,no legales,0
26,Valparaíso,5,Olmué,Alejandro Collao,Unidad Constituyente,DC,no legales,0
28,Valparaíso,5,Panquehue,Gonzalo Vergara,Unidad Constituyente,DC,no legales,0
37,Valparaíso,5,Quillota,Mauricio Ávila,Unidad Constituyente,DC,no legales,0
38,Valparaíso,5,Quilpué,Christian Cárdenas,Unidad Constituyente,DC,no legales,0
43,Valparaíso,5,San Antonio,Jorge Jorquera,Unidad Constituyente,DC,no legales,0
53,Valparaíso,5,Valparaíso,Marcelo Barraza,Unidad Constituyente,DC,no legales,0
