id,región,región1,comuna,nombre,sexo,pacto,subpacto,partido
1,Arica,0.5,Arica,Dolores Cautivo Ahumada,1,Chile Digno Verde Y Soberano,Partido Comunista E Independientes,PC
2,Arica,0.5,Arica,Ninoska Gonzalez Flores,1,Chile Digno Verde Y Soberano,Partido Comunista E Independientes,PC
3,Arica,0.5,Arica,Pablo Ponce Ponce,0,Chile Digno Verde Y Soberano,Partido Comunista E Independientes,PC
4,Arica,0.5,Arica,Scarleth Fernandez Pinto,1,Chile Digno Verde Y Soberano,Partido Comunista E Independientes,PC
5,Arica,0.5,Arica,Alfredo Tapia Contreras,0,Chile Digno Verde Y Soberano,Partido Comunista E Independientes,PC
6,Arica,0.5,Camarones,Pedro Rivera Bustos,0,Chile Digno Verde Y Soberano,Partido Comunista E Independientes,PC
7,Arica,0.5,Arica,Alejandra Tapia Rojas,1,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,FRVS
8,Arica,0.5,Arica,Patricia Solano Garrido,1,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,FRVS
9,Arica,0.5,Arica,Juan Coñoman Quiñones,0,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,FRVS
10,Arica,0.5,Arica,Luis Fierro Sandoval,0,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,FRVS
11,Arica,0.5,Arica,David Padilla Ramirez,0,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,Independientes
12,Arica,0.5,Putre,Jose Gamboa Morales,0,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,Independientes
13,Arica,0.5,Putre,Juan Vasquez Gamboa,0,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,Independientes
14,Arica,0.5,Putre,Francisca Gamboa Silva,1,Chile Digno Verde Y Soberano,Partido Federacion Regionalista Verde Social E Independientes,Independientes
15,Arica,0.5,Arica,Arturo Carreño Calvo,0,Chile Vamos - Pri E Independientes,,IND
16,Arica,0.5,Arica,Andrea Ferry Postel,1,Chile Vamos - Pri E Independientes,,IND
17,Arica,0.5,Arica,Marco Perez Chapa,0,Chile Vamos - Pri E Independientes,,IND
18,Arica,0.5,Camarones,Gisela Manzanares Calle,1,Chile Vamos - Pri E Independientes,,IND
19,Arica,0.5,Camarones,Marlene Montecinos Madueño,1,Chile Vamos - Pri E Independientes,,IND
20,Arica,0.5,Camarones,Sergio Viza Huayta,0,Chile Vamos - Pri E Independientes,,IND
21,Arica,0.5,General Lagos,Stephanie Alave Alvarez,1,Chile Vamos - Pri E Independientes,,IND
22,Arica,0.5,General Lagos,Angel Mita Tancara,0,Chile Vamos - Pri E Independientes,,IND
23,Arica,0.5,General Lagos,Pablo Villalobos Quispe,0,Chile Vamos - Pri E Independientes,,IND
24,Arica,0.5,General Lagos,Wilma Alave Condori,1,Chile Vamos - Pri E Independientes,,IND
25,Arica,0.5,Putre,Javier Llusco Ajata,0,Chile Vamos - Pri E Independientes,,IND
26,Arica,0.5,Putre,Nancy Gomez Calizaya,1,Chile Vamos - Pri E Independientes,,IND
27,Arica,0.5,Arica,Angie Lemo Chang,1,Chile Vamos - Pri E Independientes,,PRI
28,Arica,0.5,Arica,Gaston Padilla Ramirez,0,Chile Vamos - Pri E Independientes,,PRI
29,Arica,0.5,Arica,Claudio Segovia Cifuentes,0,Chile Vamos - Pri E Independientes,,PRI
30,Arica,0.5,Arica,Miguel Caceres Hernandez,0,Chile Vamos - Pri E Independientes,,PRI
31,Arica,0.5,Arica,Geraldine Alarcon Rojas,1,Chile Vamos - Pri E Independientes,,PRI
32,Arica,0.5,Camarones,Sandra Montoya Fuentes,1,Chile Vamos - Pri E Independientes,,PRI
33,Arica,0.5,Camarones,Rodrigo Opazo Huck,0,Chile Vamos - Pri E Independientes,,PRI
34,Arica,0.5,Arica,Johan Perez Vargas,0,Chile Vamos Evopoli - Independientes,,EVO
35,Arica,0.5,Arica,Valerie Montecinos Valenzuela,1,Chile Vamos Evopoli - Independientes,,EVO
36,Arica,0.5,Arica,Constanza Armijo Leiva,1,Chile Vamos Evopoli - Independientes,,EVO
37,Arica,0.5,Arica,Bastian Ayca Rios,0,Chile Vamos Evopoli - Independientes,,EVO
38,Arica,0.5,Camarones,Priscila Toro Azocar,1,Chile Vamos Evopoli - Independientes,,EVO
39,Arica,0.5,Putre,Marcelo De Arce,0,Chile Vamos Evopoli - Independientes,,EVO
40,Arica,0.5,Putre,Andres Garcia Perez,0,Chile Vamos Evopoli - Independientes,,EVO
41,Arica,0.5,Putre,Miguel Fernandez Rojas,0,Chile Vamos Evopoli - Independientes,,EVO
42,Arica,0.5,Arica,Marisol Pinto Leyton,1,Chile Vamos Evopoli - Independientes,,IND
43,Arica,0.5,Arica,Milenko Silva Saravia,0,Chile Vamos Evopoli - Independientes,,IND
44,Arica,0.5,Arica,Rosa Vilches Valencia,1,Chile Vamos Evopoli - Independientes,,IND
45,Arica,0.5,Camarones,Yaneri Vargas Vilches,1,Chile Vamos Evopoli - Independientes,,IND
46,Arica,0.5,Camarones,Wilfredo Alvarado Zavala,0,Chile Vamos Evopoli - Independientes,,IND
47,Arica,0.5,Camarones,Daniel Jofre Ramirez,0,Chile Vamos Evopoli - Independientes,,IND
48,Arica,0.5,Camarones,Sandra Montevilla Mamani,1,Chile Vamos Evopoli - Independientes,,IND
49,Arica,0.5,General Lagos,Elisa Yucra Huaylla,1,Chile Vamos Evopoli - Independientes,,IND
50,Arica,0.5,Putre,Rene Cerda Castro,0,Chile Vamos Evopoli - Independientes,,IND
51,Arica,0.5,Arica,Carolina Medalla Alcayaga,1,Chile Vamos Renovacion Nacional - Independientes,,IND
52,Arica,0.5,Camarones,Camila Acuña Chura,1,Chile Vamos Renovacion Nacional - Independientes,,IND
53,Arica,0.5,Camarones,Delia Valdez Godoy,1,Chile Vamos Renovacion Nacional - Independientes,,IND
54,Arica,0.5,General Lagos,Patricia Choquehuanca Nina,1,Chile Vamos Renovacion Nacional - Independientes,,IND
55,Arica,0.5,General Lagos,Andres Caceres Alvarez,0,Chile Vamos Renovacion Nacional - Independientes,,IND
56,Arica,0.5,General Lagos,Veronica Mita Tancara,1,Chile Vamos Renovacion Nacional - Independientes,,IND
57,Arica,0.5,Putre,Juan Lobos Subieta,0,Chile Vamos Renovacion Nacional - Independientes,,IND
58,Arica,0.5,Arica,Juan Chinga Palma,0,Chile Vamos Renovacion Nacional - Independientes,,RN
59,Arica,0.5,Arica,Ivan Carrasco Vergara,0,Chile Vamos Renovacion Nacional - Independientes,,RN
60,Arica,0.5,Arica,Josshua Rivera Tarque,0,Chile Vamos Renovacion Nacional - Independientes,,RN
61,Arica,0.5,Arica,Karen Rocha Villalba,1,Chile Vamos Renovacion Nacional - Independientes,,RN
62,Arica,0.5,Arica,Sebastian Troncoso Molina,0,Chile Vamos Renovacion Nacional - Independientes,,RN
63,Arica,0.5,Arica,Ramon Williamson Cordova,0,Chile Vamos Renovacion Nacional - Independientes,,RN
64,Arica,0.5,Camarones,Daniela Brañez Lobos,1,Chile Vamos Renovacion Nacional - Independientes,,RN
65,Arica,0.5,Camarones,Graciela Diaz Araya,1,Chile Vamos Renovacion Nacional - Independientes,,RN
66,Arica,0.5,Camarones,Carlos Gonzalez Godoy,0,Chile Vamos Renovacion Nacional - Independientes,,RN
67,Arica,0.5,General Lagos,Silvia Mendoza Condori,1,Chile Vamos Renovacion Nacional - Independientes,,RN
68,Arica,0.5,General Lagos,Alejandro Flores Huaylla,0,Chile Vamos Renovacion Nacional - Independientes,,RN
69,Arica,0.5,Putre,Alicia Quispe Delgado,1,Chile Vamos Renovacion Nacional - Independientes,,RN
70,Arica,0.5,Putre,Segundo Zubieta Loza,0,Chile Vamos Renovacion Nacional - Independientes,,RN
71,Arica,0.5,Putre,Alexander Ventura Blanco,0,Chile Vamos Renovacion Nacional - Independientes,,RN
72,Arica,0.5,Arica,Stephanie Jeldrez Ortiz,1,Chile Vamos Udi - Independientes,,IND
73,Arica,0.5,Camarones,Jessica Valdez Aranibar,1,Chile Vamos Udi - Independientes,,IND
74,Arica,0.5,Camarones,Jeanette Saavedra Mamani,1,Chile Vamos Udi - Independientes,,IND
75,Arica,0.5,Camarones,Ivonne Luque Mamani,1,Chile Vamos Udi - Independientes,,IND
76,Arica,0.5,Camarones,Ana Gonzalez Rojas,1,Chile Vamos Udi - Independientes,,IND
77,Arica,0.5,Camarones,Julia Gonzalez Fuentes,1,Chile Vamos Udi - Independientes,,IND
78,Arica,0.5,General Lagos,Alfonso Flores Chura,0,Chile Vamos Udi - Independientes,,IND
79,Arica,0.5,Putre,Jeannette Huanca Huanca,1,Chile Vamos Udi - Independientes,,IND
80,Arica,0.5,Putre,Maria Arias Santos,1,Chile Vamos Udi - Independientes,,IND
81,Arica,0.5,Putre,Javier Tito Huaylla,0,Chile Vamos Udi - Independientes,,IND
82,Arica,0.5,Putre,Armando Huanca Limari,0,Chile Vamos Udi - Independientes,,IND
83,Arica,0.5,Arica,Teresa Carrizo Corvacho,1,Chile Vamos Udi - Independientes,,UDI
84,Arica,0.5,Arica,Gabriela Rocha Ralde,1,Chile Vamos Udi - Independientes,,UDI
85,Arica,0.5,Arica,Max Schauer Fernandez,0,Chile Vamos Udi - Independientes,,UDI
86,Arica,0.5,Arica,Carlos Camp Montaner,0,Chile Vamos Udi - Independientes,,UDI
87,Arica,0.5,Arica,Jorge Cartagena Chavez,0,Chile Vamos Udi - Independientes,,UDI
88,Arica,0.5,Arica,Luis Herrera Plaza,0,Chile Vamos Udi - Independientes,,UDI
89,Arica,0.5,Arica,Rodrigo Alvarado Valencia,0,Chile Vamos Udi - Independientes,,UDI
90,Arica,0.5,Camarones,America Calle Calle,1,Chile Vamos Udi - Independientes,,UDI
91,Arica,0.5,General Lagos,Carlos Sucso Chura,0,Chile Vamos Udi - Independientes,,UDI
92,Arica,0.5,Arica,Felicidad Vertiz Blanco,1,Dignidad Ahora,Humanicemos Chile,Independientes
93,Arica,0.5,Arica,Anibal Diaz Gonzalez,0,Dignidad Ahora,Humanicemos Chile,Independientes
94,Arica,0.5,Arica,Eva Chang Chambe,1,Dignidad Ahora,Humanicemos Chile,Independientes
95,Arica,0.5,Arica,Felix Milanes Calvo,0,Dignidad Ahora,Humanicemos Chile,Independientes
96,Arica,0.5,Arica,Alejandro Chang Manriquez,0,Dignidad Ahora,Humanicemos Chile,Independientes
97,Arica,0.5,Camarones,Amadiel Codoceo Castro,0,Dignidad Ahora,Humanicemos Chile,Independientes
