id,distrito/pueblo,nombre,oficio,partido,lista,n_votos,p_votos
1,1,Jorge Abarca,Biólogo,PL-IND,Lista del Apruebo,3251,5.68
2,1,Pollyana Rivera,Periodista,UDI-IND,Vamos por Chile,3469,6.06
3,1,Carolina Videla,Trabajadora Social,PC,Apruebo Dignidad,3629,6.34
4,2,Alejandra Flores,Profesora,IND,Independientes de Tarapacá,3758,4.78
5,2,Alvaro Jofre,Ingeniero,RN,Vamos por Chile,6131,7.79
6,2,Hugo Gutierrez,Abogado,PC,Apruebo Dignidad,6773,8.61
7,3,Hernan Velasquez,Sociólogo,FRVS,Apruebo Dignidad,3946,2.54
8,3,Pablo Toloza,Abogado,UDI,Vamos por Chile,5443,3.5
9,3,Dayyana Gonzalez,Profesora,IND,Lista del Pueblo,10245,6.59
10,3,Cristina Dorador,Científica,IND,Movimientos Sociales,19751,12.71
11,4,Maximiliano Hurtado,Asesor legislativo,PS ,Lista del Apruebo,3084,3.75
12,4,Guillermo Namor,Lic. Derecho,IND,No Neutrales,4047,4.92
13,4,Constanza Juan,Historiadora,IND,Lista del Pueblo,7913,9.61
14,4,Ericka Portilla,Abogada,PC,Apruebo Dignidad,10141,12.32
15,5,Maria Castillo,Profesora,IND,Ind. Por la Región de Coquimbo,6080,2.7
16,5,Roberto Vega,Abogado,RN,Vamos por Chile,7990,3.55
17,5,Daniel Bravo,Abogado,IND,Lista del Pueblo,11061,4.91
18,5,Carlos Calvo,Profesor,PS-IND,Lista del Apruebo,12514,5.55
19,5,Jeniffer Mella,Abogada,CS-IND,Apruebo Dignidad,13368,5.93
20,5,Ivanna Olivares,Profesora,IND,Lista del Pueblo,22480,9.98
21,6,Miguel Botto,Ing. Comercial,IND,No Neutrales,3779,1.15
22,6,Cristobal Andrade,Mecánico,IND,Lista del Pueblo,6767,2.06
23,6,Claudio Gomez,Abogado,PS-IND,Lista del Apruebo,8209,2.5
24,6,Janis Meneses,Trabajadora Social,IND,Movimientos Sociales,8689,2.65
25,6,Ruggero Cozzi,Abogado,RN-IND,Vamos por Chile,10814,3.29
26,6,Lisette Vergara,Profesora,IND,Lista del Pueblo,11354,3.46
27,6,Mariela Serey,Profesora,CS-IND,Apruebo Dignidad,11842,3.61
28,6,Carolina Vilches,Geógrafa,COM-IND,Apruebo Dignidad,19116,5.82
29,7,Maria Oyarzun,Profesora,RD,Apruebo Dignidad,2613,0.79
30,7,Raul Celis,Abogado,RN,Vamos por Chile,13779,4.16
31,7,Tania Madriaga,Socióloga,IND,Lista del Pueblo,15020,4.53
32,7,Agustin Squella,Periodista,PL-IND,Lista del Apruebo,17737,5.35
33,7,Camila Zarate,Lic. Derecho,IND,Lista del Pueblo,18935,5.72
