id,región,region2,n_papeleta,nombre,opción_paritaria,ppoo
1,Arica,0.5,115,Luis Jiménez,Jennyfer Choque,Aymara
3,Arica,0.5,116,Maritza Quispe,Eduardo Flores,Aymara
5,Arica,0.5,118,José Troncoso,Leslie Villca,Aymara
7,Arica,0.5,110,Naomi Calle,Carlos Cañari,Aymara
9,Arica,0.5,112,Delia Condori,Leonel Teran,Aymara
11,Arica,0.5,114,Marcela Gómez,Juan Cayo,Aymara
13,Arica,0.5,117,Miguel Mamani,Erica Ríos,Aymara
15,Arica,0.5,111,Marcelo Centella,Teresa Centella,Aymara
17,Arica,0.5,113,Angelino Huanca,Alejandra Tapia,Aymara
19,Tarapacá,1,121,Catalina Cortés,Laureano Supanta,Aymara
21,Tarapacá,1,120,Rolando Aguirre,María Mollo,Aymara
23,Tarapacá,1,123,Nélida Díaz,Joel Díaz,Aymara
25,Tarapacá,1,125,Isabella Mamani,Franco Eyzaguirre,Aymara
27,Tarapacá,1,127,Nélida Moscoso,Pablo Butron,Aymara
29,Tarapacá,1,119,Yanet Challapa,Javier Vilca,Aymara
31,Tarapacá,1,124,Marcelo Condore,Aline Papic,Aymara
33,Tarapacá,1,122,Richards Challapa,Elizabeth Choque,Aymara
35,Tarapacá,1,126,Bárbara Montecino,Alexis Condori,Aymara
37,Tarapacá,1,111,Ceferino Castro,Luz Melchor,Quechua
39,Tarapacá,1,110,Wilfredo Bacian,Thelma Ramos,Quechua
41,Antofagasta,2,115,René Panire,Laura Panire,Atacameño
43,Antofagasta,2,111,Rolando Humire,Sara Berna,Atacameño
45,Antofagasta,2,114,Lila Colamar,Wilson Segovia,Atacameño
47,Antofagasta,2,112,Alejandra Ayabire,David Moreno,Atacameño
49,Antofagasta,2,117,Cristián Varela,Melisa Espíndola,Atacameño
51,Antofagasta,2,110,Ximena Anza,Felix Galleguillos,Atacameño
53,Antofagasta,2,113,Pablo Madariaga,Aida Cruz,Atacameño
55,Antofagasta,2,116,Oriana Mora,Manuel Escalante,Atacameño
57,Antofagasta,2,110,Horacio Cortés,Lorena Cornejo,Changos
59,Antofagasta,2,113,Pamela Oliden,Alexis Vicentelo,Quechua
