id,región,distrito,número_papeleta,nombre,lista,partido,sexo,n_listageneral
694,Arica,1,YQ22,Carolina Videla,Apruebo Dignidad,PC,1,Apruebo Dignidad
695,Arica,1,YQ23,Carlos Yevenes,Apruebo Dignidad,PC,0,Apruebo Dignidad
148,Arica,1,YQ24,Sheila Sánchez,Apruebo Dignidad,FRVS-IND,1,Apruebo Dignidad
149,Arica,1,YQ25,Herman Mondaca,Apruebo Dignidad,FRVS-IND,0,Apruebo Dignidad
17,Arica,1,YQ26,Óscar Palleres,Apruebo Dignidad,COM-IND,0,Apruebo Dignidad
194,Arica,1,WK6,Gigliola Carlevarino,Arica Siempre Arica,IND,1,Arica Siempre Arica
195,Arica,1,WK7,Willi Zuchel,Arica Siempre Arica,IND,0,Arica Siempre Arica
196,Arica,1,WK8,Carmen Vergara,Arica Siempre Arica,IND,1,Arica Siempre Arica
197,Arica,1,WK9,Cristián Pinto,Arica Siempre Arica,IND,0,Arica Siempre Arica
198,Arica,1,YV27,Catalina Cabrera,Ind. por una Nueva Const.,IND,1,No Neutrales
199,Arica,1,YV28,Edwin Briceño,Ind. por una Nueva Const.,IND,0,No Neutrales
200,Arica,1,YV29,Judith Luna,Ind. por una Nueva Const.,IND,1,No Neutrales
201,Arica,1,YV30,Rafael Vargas,Ind. por una Nueva Const.,IND,0,No Neutrales
202,Arica,1,YV31,Sara Villarroel,Ind. por una Nueva Const.,IND,1,No Neutrales
203,Arica,1,YV32,Rodrigo Venegas,Ind. por una Nueva Const.,IND,0,No Neutrales
166,Arica,1,37,Romina Le Blac,Independiente,IFP,1,Independiente
167,Arica,1,38,Rodrigo Muñoz,Independiente,IFP,0,Independiente
958,Arica,1,YB16,Hortencia Hidalgo,Lista del Apruebo,PS,1,Lista del Apruebo
878,Arica,1,YB17,Jorge Abarca,Lista del Apruebo,PL-IND,1,Lista del Apruebo
945,Arica,1,YB18,Iris Rubio,Lista del Apruebo,PRO-IND,1,Lista del Apruebo
44,Arica,1,YB19,Raúl Castro Letelier,Lista del Apruebo,DC,0,Lista del Apruebo
922,Arica,1,YB20,Ernestina Silva,Lista del Apruebo,PR,0,Lista del Apruebo
959,Arica,1,YB21,Enzo Varens,Lista del Apruebo,PS ,0,Lista del Apruebo
204,Arica,1,WE1,Milene Molina,Sumate Ahora,IND,1,Sumate Ahora
205,Arica,1,WE2,José Barraza,Sumate Ahora,IND,0,Sumate Ahora
206,Arica,1,WE3,Yarllette Marambio,Sumate Ahora,IND,1,Sumate Ahora
207,Arica,1,WE4,Sergio Gallardo,Sumate Ahora,IND,0,Sumate Ahora
208,Arica,1,WE5,Rebeca Butrón,Sumate Ahora,IND,1,Sumate Ahora
1002,Arica,1,ZR33,Fernanda Morales,Trabajadores Revolucionarios,PTR,1,Trabajadores Revolucionarios
1003,Arica,1,ZR34,Camilo Jofré,Trabajadores Revolucionarios,PTR,0,Trabajadores Revolucionarios
1004,Arica,1,ZR35,Valentina Albarracin,Trabajadores Revolucionarios,PTR,1,Trabajadores Revolucionarios
1005,Arica,1,ZR36,Manuel Rojas,Trabajadores Revolucionarios,PTR,0,Trabajadores Revolucionarios
1202,Arica,1,XP10,Pollyana Rivera,Vamos por Chile,UDI-IND,1,Vamos por Chile
1165,Arica,1,XP11,Valerio Cañipa,Vamos por Chile,UDI,0,Vamos por Chile
1101,Arica,1,XP12,María Calatayud,Vamos por Chile,RN,1,Vamos por Chile
1102,Arica,1,XP13,Héctor Milla,Vamos por Chile,RN,0,Vamos por Chile
111,Arica,1,XP14,Brunella Vinet,Vamos por Chile,EVO-IND,1,Vamos por Chile
112,Arica,1,XP15,Francisco González,Vamos por Chile,EVO-IND,0,Vamos por Chile
7,Tarapacá,2,YQ32,Alejandra Ceballos,Apruebo Dignidad,COM,1,Apruebo Dignidad
853,Tarapacá,2,YQ33,Waldo Aguilar,Apruebo Dignidad,PI,0,Apruebo Dignidad
1054,Tarapacá,2,YQ34,Camila Castillo,Apruebo Dignidad,RD,1,Apruebo Dignidad
696,Tarapacá,2,YQ35,Hugo Gutiérrez,Apruebo Dignidad,PC,0,Apruebo Dignidad
150,Tarapacá,2,YQ36,Odette López,Apruebo Dignidad,FRVS-IND,1,Apruebo Dignidad
139,Tarapacá,2,YQ37,Eduardo Justo,Apruebo Dignidad,FRVS,0,Apruebo Dignidad
209,Tarapacá,2,XN16,Guacolda Bascuñán,Autonomía Social y Sind. Tarapacá,IND,1,Autonomía Social y Sind. Tarapacá
210,Tarapacá,2,XN17,Mauro Grimaldos,Autonomía Social y Sind. Tarapacá,IND,0,Autonomía Social y Sind. Tarapacá
211,Tarapacá,2,XN18,Carla Bruna,Autonomía Social y Sind. Tarapacá,IND,1,Autonomía Social y Sind. Tarapacá
212,Tarapacá,2,XN19,Leonardo Escárate,Autonomía Social y Sind. Tarapacá,IND,0,Autonomía Social y Sind. Tarapacá
213,Tarapacá,2,ZF38,Carolina Monje,Cabildo Autoconvocado,IND,1,Cabildo Autoconvocado
214,Tarapacá,2,ZF39,Luis Dávila,Cabildo Autoconvocado,IND,0,Cabildo Autoconvocado
215,Tarapacá,2,ZF40,Nicole Gallardo,Cabildo Autoconvocado,IND,1,Cabildo Autoconvocado
216,Tarapacá,2,ZF41,Manuel Muñoz,Cabildo Autoconvocado,IND,0,Cabildo Autoconvocado
168,Tarapacá,2,42,Lorena González,Independiente,IFP,1,Independiente
169,Tarapacá,2,43,Luis Ríos,Independiente,IFP,0,Independiente
217,Tarapacá,2,A1,Alejandra Flores,Independientes de Tarapacá,IND,1,Independientes de Tarapacá
218,Tarapacá,2,A2,Sergio Cortéz,Independientes de Tarapacá,IND,0,Independientes de Tarapacá
219,Tarapacá,2,A3,Tiffany Grassi,Independientes de Tarapacá,IND,1,Independientes de Tarapacá
220,Tarapacá,2,A4,Carlos Urra,Independientes de Tarapacá,IND,0,Independientes de Tarapacá
221,Tarapacá,2,A5,Palmenia Mamani,Independientes de Tarapacá,IND,1,Independientes de Tarapacá
960,Tarapacá,2,YB26,Julia Gandarillas,Lista del Apruebo,PS ,1,Lista del Apruebo
2,Tarapacá,2,YB27,Alex Adasme,Lista del Apruebo,CIU-IND,0,Lista del Apruebo
46,Tarapacá,2,YB28,Ana María Luksic,Lista del Apruebo,DC ,1,Lista del Apruebo
937,Tarapacá,2,YB29,Ignacio Prieto,Lista del Apruebo,PR-IND,0,Lista del Apruebo
902,Tarapacá,2,YB30,Fresia Rojas,Lista del Apruebo,PPD-IND,1,Lista del Apruebo
889,Tarapacá,2,YB31,Gonzalo Prieto,Lista del Apruebo,PPD,0,Lista del Apruebo
222,Tarapacá,2,XB12,Olivia Carvajal,Nobles Hijxs de Tarapacá,IND,1,Nobles Hijxs de Tarapacá
223,Tarapacá,2,XB13,Jorge Díaz,Nobles Hijxs de Tarapacá,IND,0,Nobles Hijxs de Tarapacá
224,Tarapacá,2,XB14,Patricia López,Nobles Hijxs de Tarapacá,IND,1,Nobles Hijxs de Tarapacá
225,Tarapacá,2,XB15,Jaime Ceballos,Nobles Hijxs de Tarapacá,IND,0,Nobles Hijxs de Tarapacá
226,Tarapacá,2,E10,Ximena Ávalos,Pueblo Unido Tarapacá,IND,1,Pueblo Unido Tarapacá
227,Tarapacá,2,E11,Gonzalo Sepúlveda,Pueblo Unido Tarapacá,IND,0,Pueblo Unido Tarapacá
228,Tarapacá,2,E6,Verónica Sepúlveda,Pueblo Unido Tarapacá,IND,1,Pueblo Unido Tarapacá
229,Tarapacá,2,E7,Luis Pérez,Pueblo Unido Tarapacá,IND,0,Pueblo Unido Tarapacá
230,Tarapacá,2,E8,Grace Harris,Pueblo Unido Tarapacá,IND,1,Pueblo Unido Tarapacá
231,Tarapacá,2,E9,Enrique Echeverría,Pueblo Unido Tarapacá,IND,0,Pueblo Unido Tarapacá
1135,Tarapacá,2,XP20,Karen Heyne,Vamos por Chile,RN-IND,1,Vamos por Chile
1103,Tarapacá,2,XP21,Álvaro Jofré,Vamos por Chile,RN,0,Vamos por Chile
1136,Tarapacá,2,XP22,Luz Núñez,Vamos por Chile,RN-IND,1,Vamos por Chile
1166,Tarapacá,2,XP23,Felipe Hubner,Vamos por Chile,UDI-IND,0,Vamos por Chile
1167,Tarapacá,2,XP24,Roxana Cerda,Vamos por Chile,UDI,1,Vamos por Chile
1168,Tarapacá,2,XP25,Freddy Araneda,Vamos por Chile,UDI,0,Vamos por Chile
1055,Antofagasta,3,YQ17,Romina Ávalos,Apruebo Dignidad,RD,1,Apruebo Dignidad
140,Antofagasta,3,YQ18,Hernán Velásquez,Apruebo Dignidad,FRVS,0,Apruebo Dignidad
697,Antofagasta,3,YQ19,María Ojeda,Apruebo Dignidad,PC,1,Apruebo Dignidad
8,Antofagasta,3,YQ20,Kenin Cerda,Apruebo Dignidad,COM,0,Apruebo Dignidad
857,Antofagasta,3,YQ21,Berta Torrejón,Apruebo Dignidad,PI-IND,1,Apruebo Dignidad
858,Antofagasta,3,YQ22,Pablo Rojas,Apruebo Dignidad,PI-IND,0,Apruebo Dignidad
232,Antofagasta,3,L1,Catherine Sánchez,Ind. del N. Grande por una Nueva Const.,IND,1,No Neutrales
233,Antofagasta,3,L2,Raúl Catalán,Ind. del N. Grande por una Nueva Const.,IND,0,No Neutrales
234,Antofagasta,3,L3,Nora Biaggini,Ind. del N. Grande por una Nueva Const.,IND,1,No Neutrales
235,Antofagasta,3,L4,Francisco Moll,Ind. del N. Grande por una Nueva Const.,IND,0,No Neutrales
170,Antofagasta,3,40,Daniel Muñoz,Independiente,IFP,0,Independiente
171,Antofagasta,3,41,Cristián Castillo,Independiente,IFP,0,Independiente
172,Antofagasta,3,42,Luz Castillo,Independiente,IFP,1,Independiente
236,Antofagasta,3,ZN23,Dayyana González,La Lista del Pueblo,IND,1,Lista del Pueblo
237,Antofagasta,3,ZN24,Wilfredo Lobos,La Lista del Pueblo,IND,0,Lista del Pueblo
238,Antofagasta,3,ZN25,Dalila Peña,La Lista del Pueblo,IND,1,Lista del Pueblo
239,Antofagasta,3,ZN26,Carlos Hernández,La Lista del Pueblo,IND,0,Lista del Pueblo
240,Antofagasta,3,ZN27,Rosana Olivares,La Lista del Pueblo,IND,1,Lista del Pueblo
923,Antofagasta,3,YB11,Celia González,Lista del Apruebo,PR ,1,Lista del Apruebo
938,Antofagasta,3,YB12,Jorge Alvarado,Lista del Apruebo,PR-IND,0,Lista del Apruebo
946,Antofagasta,3,YB13,Katherine Leyton,Lista del Apruebo,PRO-IND,1,Lista del Apruebo
47,Antofagasta,3,YB14,Felipe Lerzundi,Lista del Apruebo,DC ,0,Lista del Apruebo
990,Antofagasta,3,YB15,Fabiola Rivero,Lista del Apruebo,PS-IND,1,Lista del Apruebo
903,Antofagasta,3,YB16,Marcos Simunovic,Lista del Apruebo,PPD-IND,0,Lista del Apruebo
241,Antofagasta,3,ZZ34,Cristina Dorador,Mov. Independiente del Norte,IND,1,Movimientos Sociales
242,Antofagasta,3,ZZ35,Arnaldo Núñez,Mov. Independiente del Norte,IND,0,Movimientos Sociales
243,Antofagasta,3,ZZ36,Vianney Sierralta,Mov. Independiente del Norte,IND,1,Movimientos Sociales
244,Antofagasta,3,ZZ37,Rudencio Espíndola,Mov. Independiente del Norte,IND,0,Movimientos Sociales
245,Antofagasta,3,ZZ38,Nina López,Mov. Independiente del Norte,IND,1,Movimientos Sociales
246,Antofagasta,3,ZZ39,Arturo Soto,Mov. Independiente del Norte,IND,0,Movimientos Sociales
