id,region,region2,región,n_papeleta,nombre,Lista,partido,sexo
1,1,0.5,Arica,XX200,Enrique Lee,Chile Vamos,PRI,0
2,1,0.5,Arica,202,Orlando Vargas,Independiente,IND,0
3,1,0.5,Arica,203,Roberto Quintana,Independiente,IND,0
4,1,0.5,Arica,204,Juan Meruvia,Independiente,IND,0
5,1,0.5,Arica,YN201,Jorge Díaz,Unidad Constituyente,DC,0
6,2,1,Tarapacá,XX201,Jorge Fistonic,Chile Vamos,UDI,0
7,2,1,Tarapacá,ZV203,Enzo Morales,Dignidad Regional,IND,0
8,2,1,Tarapacá,XS200,Jose Carvajal,Frente Amplio,COM,0
9,2,1,Tarapacá,YN202,Marco Pérez,Unidad Constituyente,IND,0
10,3,2,Antofagasta,XX201,Marco Díaz,Chile Vamos,RN,0
11,3,2,Antofagasta,XS200,Paula Orellana,Frente Amplio,RD,1
12,3,2,Antofagasta,ZX204,Claudio Lagos,Regionalistas Verdes,FRVS,0
13,3,2,Antofagasta,ZR203,Lester Calderón,Trabajadores Revolucionarios,PTR,0
14,3,2,Antofagasta,YN202,Ricardo Díaz,Unidad Constituyente,IND,0
15,4,3,Atacama,XX200,Fernando Ghiglino,Chile Vamos,RN,0
16,4,3,Atacama,ZV202,Javier Castillo,Dignidad Regional,PC,0
17,4,3,Atacama,204,Miguel Vargas,Independiente,IND,0
18,4,3,Atacama,ZX203,Marco Maturana,Regionalistas Verdes,FRVS,0
19,4,3,Atacama,YN201,Carlo Pezo,Unidad Constituyente,IND,0
20,5,4,Coquimbo,XX200,Marco Sulantay,Chile Vamos,UDI,0
21,5,4,Coquimbo,ZV203,Javier Vega,Dignidad Regional,PC,0
22,5,4,Coquimbo,XZ201,Krist Naranjo,Ecologistas e Independientes,IND,0
23,5,4,Coquimbo,YN202,Ricardo Cifuentes,Unidad Constituyente,DC,0
24,6,5,Valparaíso,XX202,Manuel Millones,Chile Vamos,IND,0
25,6,5,Valparaíso,XS201,Rodrigo Mundaca,Frente Amplio,IND,0
26,6,5,Valparaíso,YA203,Ricardo Georges,Humanicemos Chile,PH,0
27,6,5,Valparaíso,U200,Marco Oyanedel,Igualdad para Chile,IND,0
28,6,5,Valparaíso,YN204,Aldo Valle,Unidad Constituyente,PS,0
29,6,5,Valparaíso,ZB205,Luis Aravena,Unión Patriotica,UPA,0
30,15,5.5,Metropolitana,XX202,Catalina Parot,Chile Vamos,EVO-IND,1
31,15,5.5,Metropolitana,XS201,Karina Oliva,Frente Amplio,COM,1
32,15,5.5,Metropolitana,YA204,Pablo Maltés,Humanicemos Chile,PH,0
33,15,5.5,Metropolitana,XZ203,Nathalie Joignant,Partido Ecologista Verde,PEV,1
37,15,5.5,Metropolitana,ZX207,Ricardo Martínez,Regionalistas Verdes,FRVS,0
34,15,5.5,Metropolitana,XO200,Rojo Edwards,Republicanos,REP,0
