candidato,lista,partido,área,nombre
Carlos Maldonado,Unidad Constituyente,PR,Comité Político,Alberto Robles
Carlos Maldonado,Unidad Constituyente,PR,Comité Político,Alexis Sepúlveda
Carlos Maldonado,Unidad Constituyente,PR,Comité Político,Jacqueline Castillo
Carlos Maldonado,Unidad Constituyente,PR,Comité Político,Mauricio Andrews
Carlos Maldonado,Unidad Constituyente,PR,Comité Político,Ricardo Navarrete
Carlos Maldonado,Unidad Constituyente,PR,Coordinador General,Marcela Hernando
Carlos Maldonado,Unidad Constituyente,PR,Economía,Fabián Duarte
Carlos Maldonado,Unidad Constituyente,PR,Economía,Roberto Álvarez
Carlos Maldonado,Unidad Constituyente,PR,Economía,Sergio Villegas
Carlos Maldonado,Unidad Constituyente,PR,Equipo Programático,Emilio Oñate
Carlos Maldonado,Unidad Constituyente,PR,Equipo Programático,Lorenna Saldías
Carlos Maldonado,Unidad Constituyente,PR,Equipo Programático,Valeria Villegas
Daniel Jadue,Apruebo Dignidad,PC,Equipo Programático,Juan Andrés Lagos
Daniel Jadue,Apruebo Dignidad,PC,Equipo Programático,Kemy Oyarzún
Daniel Jadue,Apruebo Dignidad,PC,Equipo Programático,Jorge Coulon
Daniel Jadue,Apruebo Dignidad,PC,Equipo Programático,Camilo Sánchez
Daniel Jadue,Apruebo Dignidad,PC,Equipo Programático,Daniela Serrano
Daniel Jadue,Apruebo Dignidad,PC,Secretaría,Camila Vallejo
Daniel Jadue,Apruebo Dignidad,PC,Secretaría,Lautaro Carmona
Ignacio Briones,Chile Vamos,EVO,Ciudadanía,Mathías Klotz
Ignacio Briones,Chile Vamos,EVO,Constitucional,José García
Ignacio Briones,Chile Vamos,EVO,Cultura,Javiera Parada
Ignacio Briones,Chile Vamos,EVO,Descentralización,María Paz Hermosilla
Ignacio Briones,Chile Vamos,EVO,Descentralización,Ramiro Mendoza
Ignacio Briones,Chile Vamos,EVO,Descentralización,María de la Paz
Ignacio Briones,Chile Vamos,EVO,Descentralización,Isabel Aninat
Ignacio Briones,Chile Vamos,EVO,Descentralización,Javier de Iruarrizaga
Ignacio Briones,Chile Vamos,EVO,Economía,Álvaro Fischer
Ignacio Briones,Chile Vamos,EVO,Educación,Susana Claro
Ignacio Briones,Chile Vamos,EVO,Equipo Programático,Valentina Verbal
Ignacio Briones,Chile Vamos,EVO,Equipo Programático,Fernando Medina
