id,nombre,lista,partido,fuente,fuente2,sexo
1,Jaime Mulet,Chile Digno,FRVS,https://www.latercera.com/politica/noticia/nuevo-candidato-en-la-carrera-presidencial-fvrs-proclamara-a-diputado-jaime-mulet/HO4PLRIRZZGRDCF44HDKW4DXWI/,.,0
2,Daniel Jadue,Chile Digno,PC,https://www.latercera.com/politica/noticia/daniel-jadue-asegura-que-esta-absolutamente-disponible-para-ser-presidente/5LTX46V4VVAE3NKHKVBOLL6BOE/,https://www.youtube.com/watch?v=M4A6ftOiib8&feature=emb_title&ab_channel=ConversandoenCasa,0
3,Ignacio Briones,Chile Vamos,EVO,https://www.biobiochile.cl/noticias/nacional/chile/2021/01/17/presidenciables-oficialistas-ven-con-buenos-ojos-eventual-candidatura-de-ignacio-briones-a-la-moneda.shtml,https://www.elmostrador.cl/noticias/multimedia/2021/01/26/los-aplausos-en-la-moneda-en-la-despedida-del-ahora-precandidato-presidencial-ignacio-briones/,0
4,Sebastián Sichel,Chile Vamos,IND,https://www.ex-ante.cl/sichel-irrumpe-como-candidato-para-las-primarias-presidenciales-de-chile-vamos/,.,0
5,Mario Desbordes,Chile Vamos,RN,https://www.ex-ante.cl/el-diseno-detras-de-la-candidatura-presidencial-de-desbordes/,.,0
6,Evelyn Matthei,Chile Vamos,UDI,https://www.cnnchile.com/pais/evelyn-matthei-candidata-presidencia_20200829/,https://www.lun.com/Pages/NewsDetail.aspx?dt=2020-08-30&NewsID=456360&BodyID=0&PaginaId=10,1
7,Joaquín Lavín,Chile Vamos,UDI,https://www.cnnchile.com/lodijeronencnn/lavin-elecciones-presidenciales-futuro-gobierno-mirada-amplia_20200824/,.,0
8,Gabriel Boric,Frente Amplio,CS,https://www.cnnchile.com/pais/gabriel-boric-candidato-presidencial-frente-amplio_20210317/,https://www.latercera.com/politica/noticia/convergencia-social-proclama-a-gabriel-boric-como-precandidato-presidencial/E4Z3B6W7ZBB67GJ3T7TWQWJ4SE/,0
9,Marcelo Díaz,Frente Amplio,Unir,https://www.eldinamo.cl/nacional/2020/11/23/diputado-marcelo-diaz-confirma-candidatura-presidencial-por-el-frente-amplio/,https://www.concierto.cl/2021/03/marcelo-diaz-precandidato-presidencial-el-fa-tiene-que-decidir-con-quien-ira-a-primarias/,0
10,Bernardo Javalquinto,Independiente,IND,https://twitter.com/bjaval5,https://www.adnradio.cl/politica/2020/10/29/economista-y-exgerente-de-desaparecida-linea-law-se-lanza-como-candidato-presidencial.html,0
11,Carola Canelo,Independiente,IND,http://carolacanelo.cl/,.,1
12,Cristián Contreras (Dr. File),Independiente,IND,https://www.lacuarta.com/espectaculos/noticia/dr-file-quiero-proximo-presidente-chile/550493/,https://www.publimetro.cl/cl/entretenimiento/2020/10/01/dr-file-anuncia-carrera-presidencial-quiero-proximo-presidente-chile.html ,0
13,Tomás Jocelyn-Holt,Independiente,IND,https://twitter.com/tjholt/status/1354195351251558400/photo/1,.,0
14,Pamela Jiles,Partido Humanista,PH,https://www.latercera.com/politica/noticia/partido-humanista-declara-a-pamela-jiles-como-carta-presidencial-y-acusa-operacion-del-frente-amplio-para-impedir-que-la-diputada-lidere-la-comision-de-constitucion/A65MH4UQG5E3FK6UZS2UYHMYHI/,https://www.youtube.com/watch?time_continue=1&v=V8j8qed30f4&feature=emb_logo&ab_channel=TVN,1
15,José Antonio Kast,Partido Republicano,REP,https://www.biobiochile.cl/noticias/nacional/chile/2018/12/16/jose-antonio-kast-anuncia-carrera-presidencial-para-elecciones-de-2021-en-medio-de-seminario.shtml,.,0
16,Ximena Rincón,Unidad Constituyente,DC,https://www.adnradio.cl/nacional/2018/12/30/ximena-rincon-aseguro-estar-disponible-para-una-candidatura-presidencial-3844103.html ,https://www.publimetro.cl/cl/noticias/2020/11/02/ximena-rincon-candidatura-presidencial.html,1
17,Heraldo Muñoz,Unidad Constituyente,PPD,https://www.elmostrador.cl/dia/2020/08/22/heraldo-munoz-por-candidatura-presidencial-no-lo-descarto-no-lo-puedo-descartar/,https://www.radioagricultura.cl/politica/2020/08/21/heraldo-munoz-le-abre-la-puerta-a-una-posible-candidatura-presidencial-lo-vere-pronto-llegara-la-hora-de-tomar-una-decision.html,0
18,Carlos Maldonado,Unidad Constituyente,PR,https://www.latercera.com/politica/noticia/radicales-proclaman-a-carlos-maldonado-como-su-candidato-presidencial/CDTWMT6TIVFYRIY32KQZVG3KFE/,.,0
19,Paula Narváez,Unidad Constituyente,PS,https://www.cooperativa.cl/noticias/pais/politica/presidenciales/montes-suma-a-monsalve-y-narvaez-a-la-carrera-presidencial-ps/2019-08-12/200902.html,.,1
20,Pablo Vidal,Unidad Constituyente,NT,https://www.ex-ante.cl/15-cosas-sobre-pablo-vidal-quien-se-suma-hoy-a-la-lista-de-10-candidatos-presidenciales-de-la-oposicion/,.,0
